#metric_id,frequency_type,subject,measure,gdf_id,graph_id,discovery_ts
030001008700000004000000330000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:[127.0.0.1]_8201,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690358
030001008700000004000000340000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:[127.0.0.1]_8255,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690358
030001008700000004000000340000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:[127.0.0.1]_8255,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690358
030001008700000004000000340000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:[127.0.0.1]_8255,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690358
030001008700000004000000350000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:[127.0.0.1]_8256,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690359
030001008700000004000000350000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:[127.0.0.1]_8256,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690359
030001008700000004000000350000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:[127.0.0.1]_8256,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690359
030001008700000004000000360000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:[184.105.177.101]_4431,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690359
030001008700000004000000360000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:[184.105.177.101]_4431,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690359
030001008700000004000000360000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:[184.105.177.101]_4431,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690359
030001008700000004000000370000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:[__]_1122,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690359
030001008700000004000000370000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:[__]_1122,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690359
030001008700000004000000370000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:[__]_1122,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690359
030001008700000004000000380000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:127.0.0.1_5432,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690359
030001008700000004000000380000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:127.0.0.1_5432,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690359
030001008700000004000000380000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:127.0.0.1_5432,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690359
030001008700000004000000390000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:127.0.0.53%lo_53,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690359
030001008700000004000000390000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:127.0.0.53%lo_53,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690359
030001008700000004000000390000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:127.0.0.53%lo_53,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690359
